competitor_name,product_name,source,review_text,rating,clean_text,topic_id,topic_keywords
OurBrand,SmartFit Pro Watch,Amazon,"Love the display and battery life, steps seem accurate.",5,love the display and battery life steps seem accurate,0,"steps accurate, steps, accurate, replacement option, option, replacement, accurate replacement, love display"
OurBrand,SmartFit Pro Watch,Amazon,Sleep tracking is good but app is a bit confusing.,4,sleep tracking is good but app is a bit confusing,3,"app, updates improved, performance happy, updates, improved, app updates, improved performance, performance"
OurBrand,BassBeat Headphones,Amazon,"Bass is amazing, but the ear cups get uncomfortable after long use.",4,bass is amazing but the ear cups get uncomfortable after long use,1,"cheap, long, price connection, price, sound okay, connection drops, okay, okay price"
CompA,FitPulse X2,Amazon,"Heart rate seems inaccurate, customer support very slow.",2,heart rate seems inaccurate customer support very slow,1,"cheap, long, price connection, price, sound okay, connection drops, okay, okay price"
CompA,FitPulse X2,Amazon,Battery drains quickly and strap quality is poor.,2,battery drains quickly and strap quality is poor,2,"quality, sound quality, quality packaging, packaging damaged, packaging, damaged, great, great sound"
CompA,StereoMax 500,Amazon,Great sound quality but packaging was damaged.,4,great sound quality but packaging was damaged,2,"quality, sound quality, quality packaging, packaging damaged, packaging, damaged, great, great sound"
CompB,ActiveTrack Lite,Google,"Cheap build, band broke in two weeks. Not happy.",1,cheap build band broke in two weeks not happy,1,"cheap, long, price connection, price, sound okay, connection drops, okay, okay price"
CompB,ActiveTrack Lite,Google,"Steps are not accurate, and no replacement option.",2,steps are not accurate and no replacement option,0,"steps accurate, steps, accurate, replacement option, option, replacement, accurate replacement, love display"
CompB,SoundLite Mini,Amazon,"Sound is okay for the price, but connection drops often.",3,sound is okay for the price but connection drops often,1,"cheap, long, price connection, price, sound okay, connection drops, okay, okay price"
OurBrand,SmartFit Pro Watch,Google,"App updates improved performance, very happy now.",5,app updates improved performance very happy now,3,"app, updates improved, performance happy, updates, improved, app updates, improved performance, performance"
CompA,StereoMax 500,Google,"Mic quality is average, but music quality is excellent.",4,mic quality is average but music quality is excellent,2,"quality, sound quality, quality packaging, packaging damaged, packaging, damaged, great, great sound"
OurBrand,BassBeat Headphones,Google,"Comfortable even after long calls, but case feels cheap.",4,comfortable even after long calls but case feels cheap,1,"cheap, long, price connection, price, sound okay, connection drops, okay, okay price"
